"","TEAM","GP","W","L","PCT","WinRatio","RperG","RAperG","RunsRatio","PCTexp","Wexp","Lexp","Rdif"
"1","Leones de Yucatan",22,16,6,0.727272727272727,2.66666666666667,5.81818181818182,4.54545454545455,1.28,0.62098241358399,35,22,28
"2","Tigres de Quintana Roo",21,15,6,0.714285714285714,2.5,6.19047619047619,4.90476190476191,1.2621359223301,0.614344396379367,35,22,27
"3","Diablos Rojos del Mexico",22,14,8,0.636363636363636,1.75,7.40909090909091,5.63636363636364,1.31451612903226,0.633424722851353,36,21,39
"4","Pericos de Puebla",22,14,8,0.636363636363636,1.75,7.04545454545455,5.27272727272727,1.33620689655172,0.640991435660735,37,20,39
"5","Guerreros de Oaxaca",22,10,12,0.454545454545455,0.833333333333333,6.04545454545455,6.72727272727273,0.898648648648649,0.446770893844872,25,32,-15
"6","Olmecas de Tabasco",22,9,13,0.409090909090909,0.692307692307692,4.04545454545455,5.68181818181818,0.712,0.336405334239361,19,38,-36
"7","Bravos de Leon",22,8,14,0.363636363636364,0.571428571428571,6.63636363636364,7,0.948051948051948,0.473352282821105,27,30,-8
"8","Piratas de Campeche",22,7,15,0.318181818181818,0.466666666666667,4.68181818181818,6.40909090909091,0.730496453900709,0.347950147589374,20,37,-38
