"","Pitcher_Name","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"88","FREDDY GARCIA",15,1,7,6,10,1,0,0,2,0,0,7.2,7.04,2.09
"89","FREDY QUINTERO",5,0,3,1,4,2,0,0,0,1,1,5,1.8,1.4
"90","GABE AGUILAR",3,0,0,0,4,2,0,0,0,1,0,4,0,1.25
"91","GABINO AVALOS",2,0,4,3,1,3,0,0,0,0,0,1,27,5
"92","GERARDO GUTIERREZ",1,0,3,3,6,3,0,0,0,0,0,3.1,8.1,1.2
"93","GERARDO SANCHEZ",8,0,2,2,4,2,0,1,0,3,0,7,2.57,1.43
"94","GONZALO OCHOA",1,0,0,0,0,0,0,0,0,0,0,1,0,1
"95","GONZALO SANUDO",5,0,0,0,5,0,0,0,0,0,0,5.1,0,0.94
"96","GUILLERMO TRUJILLO",11,2,6,6,4,2,0,1,0,0,0,11,4.91,1.18
"97","HASSAN PENA",14,1,8,8,4,4,0,0,2,1,0,3.1,21.6,5.4
"98","HECTOR AMBRIZ",10,0,3,3,8,2,0,0,1,0,0,8,3.38,1.5
"99","HECTOR GALVAN",15,2,10,8,5,3,0,0,2,0,0,7.1,9.82,2.45
"100","HENDERSON ALVAREZ",8,0,2,2,8,2,0,1,0,0,0,11,1.64,0.91
"101","HENRY OMANA",3,0,4,3,2,6,1,0,1,1,0,6.1,4.26,1.42
"102","HERIBERTO RUELAS",4,0,0,0,6,4,0,1,0,0,1,8,0,1
"103","HUGO GUTIERREZ",7,0,6,6,1,0,0,0,0,0,0,1,54,7
"104","HUMBERTO MONTIEL",7,0,5,5,2,4,0,0,1,1,0,5.2,7.94,1.94
"105","IRWIN DELGADO",24,3,12,11,12,6,0,0,0,0,0,16.1,6.06,1.84
"106","ISAAC JIMENEZ",7,0,4,4,2,0,0,1,0,0,0,2,18,3.5
"107","ISMAEL CASTILLO",1,0,3,3,5,3,0,0,1,1,0,4,6.75,1
"108","IVAN SALAS",1,0,0,0,2,2,0,1,0,3,0,5.2,0,0.53
"109","IVAN ZAVALA",5,0,2,2,3,3,0,0,1,0,0,5.2,3.18,1.41
"110","JAIME LUGO",14,1,6,6,8,1,0,0,0,0,0,9,6,1.67
"111","JASON URQUIDEZ",7,0,2,2,5,0,0,0,0,0,2,5,3.6,1.4
"112","JAVIER REYNOSO",7,1,4,4,1,2,0,0,0,2,0,4,9,2.25
"113","JAVIER SOLANO",18,1,8,7,12,3,0,3,0,0,0,15,4.2,1.4
"114","JEAN MACHI",5,0,0,0,8,2,0,1,0,3,1,8.2,0,0.81
"115","JEFF IBARRA",4,0,1,1,10,1,0,1,0,1,0,7.1,1.23,0.68
"116","JESSE ESTRADA",6,0,0,0,3,2,0,0,0,2,1,7.1,0,1.09
"117","JESUS ADRIAN CASTILLO",9,0,1,1,13,3,0,2,0,0,0,10,0.9,1.2
"118","JESUS ALCANTAR",5,0,4,3,4,1,0,1,0,0,0,7,3.86,0.86
"119","JESUS ANGUAMEA",8,0,2,1,10,5,1,0,0,0,0,10.1,0.87,1.26
"120","JESUS BARRAZA",1,0,0,0,4,2,0,3,0,0,0,7.1,0,0.41
"121","JESUS GARCIA",6,0,3,3,2,0,0,0,0,3,0,3.1,8.1,1.8
"122","JOAQUIN LARA",10,1,6,5,7,1,0,1,0,0,0,5,9,2.2
"123","JOHN MILLAN",7,0,3,3,0,2,0,0,0,0,0,3.2,7.36,2.45
"124","JONATHAN CASTELLANOS",16,0,4,4,7,7,0,2,0,0,0,15.1,2.35,1.5
"125","JONATHAN FRUTOS",5,0,1,1,0,2,0,0,0,0,0,2,4.5,3.5
"126","JONATHAN PARTIDA",1,0,0,0,0,3,0,0,0,0,0,2.1,0,1.71
"127","JORDAN ABOITES",3,2,4,4,5,3,0,0,1,0,0,4.1,8.31,1.38
"128","JORGE IBARRA",5,0,3,3,4,1,0,0,0,1,0,4.1,6.23,1.38
"129","JORGE REYES",8,0,3,3,8,3,0,0,0,0,0,8.1,3.24,1.32
"130","JORGE RIVERA",11,0,4,4,9,1,0,0,0,2,0,10,3.6,1.2
"131","JOSE ASCANIO",5,0,2,2,2,1,0,0,0,0,2,3.2,4.91,1.64
"132","JOSE BARAJAS",8,0,8,8,5,6,0,0,1,0,0,5,14.4,2.8
"133","JOSE CARLOS MEDINA",3,0,1,1,4,1,0,0,0,0,0,3.1,2.7,1.2
"134","JOSE FRUTOS",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"135","JOSE ISIDRO MARQUEZ",1,0,0,0,2,0,0,0,0,0,0,0.2,0,1.5
"136","JOSE LOPEZ CRUZ",14,0,8,8,3,1,0,1,1,1,0,5,14.4,3
"137","JOSE MANUEL LOPEZ",10,1,2,2,5,3,0,0,0,2,0,6,3,2.17
"138","JOSE MARRUJO",7,1,3,2,6,6,0,1,0,0,0,10.1,1.74,1.26
"139","JOSE MERAZ",2,0,1,1,1,0,0,0,0,1,0,0.2,13.5,3
"140","JOSE PINA",10,2,3,3,10,6,0,2,0,0,0,15,1.8,1.07
"141","JOSE SAMAYOA",11,0,2,2,10,4,1,2,0,0,0,18,1,0.83
"142","JOSH JUDY",4,0,1,1,1,2,0,0,1,2,0,5,1.8,1.2
"143","JOSH LOWEY",15,1,6,6,15,8,0,1,1,0,0,14,3.86,1.64
