"","X","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"71",71,"BRANDON CUNNIFF",0,0,0,0,0,0,0,0,0,0,0,0,0
"72",72,"BRANDON MACIAS",27,5,9,1,0,1,2,5,4,3,0,0,0
"73",73,"BRANDON QUINTERO",0,0,0,0,0,0,0,0,0,0,0,0,0
"74",74,"BRAULIO LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
"75",75,"BRAULIO TORRES-PEREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"76",76,"BRAXTON MARTINEZ",43,6,10,3,0,3,9,8,11,1,0,0,0
"77",77,"BRAYAN QUINTERO",1,0,0,0,0,0,0,0,0,0,0,0,0
"78",78,"BRIAN HERNANDEZ",55,6,20,7,0,0,14,6,2,1,0,1,0
"79",79,"BRYAN EVANS",0,0,0,0,0,0,0,0,0,0,0,0,0
"80",80,"C.J. RETHERFORD",48,5,12,2,0,1,2,2,11,0,0,0,0
"81",81,"CARLOS ALBERTO GASTELUM",58,10,12,3,0,0,6,5,10,1,0,1,0
"82",82,"CARLOS ALVAREZ",9,1,1,0,0,0,1,1,3,0,0,0,0
"83",83,"CARLOS CHAVEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"84",84,"CARLOS COLMENARES",49,4,10,3,0,0,2,5,11,0,0,0,1
"85",85,"CARLOS CORPORAN",29,6,11,1,0,1,9,7,6,1,0,0,0
"86",86,"CARLOS DE LEON",0,0,0,0,0,0,0,0,0,0,0,0,0
"87",87,"CARLOS EDUARDO GONZALEZ",3,1,0,0,0,0,0,1,1,0,0,0,0
"88",88,"CARLOS FIGUEROA",51,12,11,2,0,1,5,12,4,0,4,0,0
"89",89,"CARLOS FISHER",0,0,0,0,0,0,0,0,0,0,0,0,0
"90",90,"CARLOS GARZON",7,4,3,0,0,1,3,0,1,0,0,0,1
"91",91,"CARLOS HERNANDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"92",92,"CARLOS LOPEZ",44,7,12,2,1,0,7,7,7,1,0,1,1
"93",93,"CARLOS MENDIVIL",11,1,3,0,0,0,1,0,2,0,0,0,0
"94",94,"CARLOS MORALES",24,1,4,0,0,0,0,2,8,1,1,0,0
"95",95,"CARLOS MUNOZ",41,6,9,1,0,0,5,5,9,1,0,0,0
"96",96,"CARLOS PAULINO",51,9,15,1,1,2,13,4,12,2,1,1,0
"97",97,"CARLOS PECH",0,0,0,0,0,0,0,0,0,0,0,0,0
"98",98,"CARLOS PENUELAS",29,3,4,1,0,0,2,2,4,0,0,1,3
"99",99,"CARLOS RIVERO",50,6,14,5,0,1,8,6,11,0,0,0,0
"100",100,"CARLOS RODRIGUEZ",39,3,8,1,0,0,3,3,11,0,0,0,2
"101",101,"CARLOS TELLER",0,0,0,0,0,0,0,0,0,0,0,0,0
"102",102,"CEDRIC HUNTER",56,12,14,3,0,3,12,3,13,1,1,1,0
"103",103,"CESAR TAPIA",41,5,9,3,0,0,5,4,6,0,1,1,1
"104",104,"CESAR VALDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"105",105,"CHAD GAUDIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"106",106,"CHRIS ROBERSON",46,10,10,2,0,2,5,3,7,1,1,1,0
"107",107,"CHRIS ROCHA",0,0,0,0,0,0,0,0,0,0,0,0,0
"108",108,"CHRIS VALENCIA",30,3,8,1,0,0,5,2,4,1,2,0,0
"109",109,"CHRISTIAN ZAZUETA",23,1,5,3,0,0,6,1,7,0,2,1,0
"110",110,"CIRO NORZAGARAY",4,1,0,0,0,0,0,2,0,0,0,0,0
"111",111,"CONFESOR LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
"112",112,"COREY BROWN",44,8,13,0,1,3,8,10,12,0,2,0,0
"113",113,"CRISTHIAN PRESICHI",43,10,15,2,0,2,11,5,7,0,2,2,1
"114",114,"CYLE HANKERD",50,8,13,4,0,3,9,7,7,2,0,0,0
"115",115,"DAN JOHNSON",48,9,10,1,0,3,9,10,8,2,0,0,0
"116",116,"DANIEL BRITO",0,0,0,0,0,0,0,0,0,0,0,0,0
"117",117,"DANIEL CORNEJO",19,2,5,2,1,0,2,2,2,0,0,0,0
"118",118,"DANIEL DUARTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"119",119,"DANIEL FLORES",0,0,0,0,0,0,0,0,0,0,0,0,0
"120",120,"DANIEL GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0
"121",121,"DANIEL HINOJOSA",25,1,3,0,0,0,0,0,10,0,0,0,2
"122",122,"DANIEL JIMENEZ",14,4,7,1,0,0,4,0,0,0,0,1,0
"123",123,"DANIEL MAYORA",48,6,14,3,0,1,5,6,8,1,0,0,1
"124",124,"DANIEL MERCADO",8,0,0,0,0,0,0,0,2,0,0,0,0
"125",125,"DANIEL NUNEZ",54,10,19,8,1,0,7,7,10,2,2,1,2
"126",126,"DANIEL SANCHEZ",32,2,6,1,0,0,1,3,3,0,0,0,0
"127",127,"DARIC BARTON",27,12,10,3,1,3,8,12,5,5,0,0,0
"128",128,"DAVID GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"129",129,"DAVID REYES",0,0,0,0,0,0,0,0,0,0,0,0,0
"130",130,"DAVID RICHARDSON",0,0,0,0,0,0,0,0,0,0,0,0,0
"131",131,"DAVID VIDAL",50,14,14,2,1,2,11,6,15,4,0,0,0
"132",132,"DELMON YOUNG",52,7,14,2,0,2,8,2,12,3,0,1,0
"133",133,"DEMETRIO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"134",134,"DERRICK LOOP",0,0,0,0,0,0,0,0,0,0,0,0,0
"135",135,"DIEGO MADERO",46,5,13,4,0,0,2,4,8,1,0,1,1
"136",136,"DOMINGO CASTRO",4,1,1,0,0,0,1,0,0,0,0,0,1
"137",137,"DOMONIC BROWN",41,8,13,2,0,4,12,10,11,1,0,0,0
"138",138,"DUSTIN CRENSHAW",0,0,0,0,0,0,0,0,0,0,0,0,0
"139",139,"DUSTIN GEIGER",52,11,24,7,0,3,16,5,12,3,0,2,0
"140",140,"DUSTIN MARTIN",47,10,12,1,0,2,11,10,13,1,2,1,0
"141",141,"EDER LLAMAS",0,0,0,0,0,0,0,0,0,0,0,0,0
