"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH","PA","AVG","OBP","SLG","OPS"
"169","OMAR MEZA",0,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"170","OMAR RENTERIA",19,3,5,1,0,0,4,4,4,0,0,0,0,23,0.263,0.391,0.368,0.759
"171","OSCAR SANAY",8,1,2,0,0,0,0,0,0,0,0,0,0,8,0.25,0.25,0.25,0.5
"172","OSCAR WILLIAMS",4,0,1,0,0,0,1,0,0,0,0,0,0,4,0.25,0.25,0.25,0.5
"173","PAUL LEON",20,2,7,0,0,0,1,5,5,0,0,0,0,25,0.35,0.48,0.35,0.83
"174","PEDRO ARENAS",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"175","QUINCY LATIMORE",26,5,12,1,1,2,6,4,3,0,0,0,0,30,0.462,0.533,0.962,1.495
"176","RAMIRO PENA",24,6,7,1,0,1,5,1,1,1,1,0,0,25,0.292,0.346,0.542,0.888
"177","RAMON OSUNA",6,0,2,0,0,0,0,0,3,0,0,0,0,6,0.333,0.333,0.333,0.666
"178","RAMON R RAMIREZ",12,1,1,0,0,0,0,2,6,0,0,0,1,15,0.083,0.214,0.083,0.297
"179","RAMON RIOS",20,3,6,0,0,0,2,3,1,1,0,1,0,24,0.3,0.4,0.3,0.7
"180","RAYMUNDO TORRES",12,2,6,1,1,0,3,1,2,0,1,0,0,13,0.5,0.538,0.917,1.455
"181","REFUGIO CERVANTES",4,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
"182","RICARDO NANITA",13,2,2,0,0,0,0,2,2,0,0,0,0,15,0.154,0.267,0.154,0.421
"183","RICARDO SERRANO",23,2,4,1,0,0,5,1,5,0,0,1,0,25,0.174,0.2,0.261,0.461
"184","RICARDO VALENZUELA",8,0,3,0,0,0,3,1,1,0,0,0,0,9,0.375,0.444,0.375,0.819
"185","RICHY PEDROZA",20,4,7,0,0,1,4,3,3,0,0,2,0,25,0.35,0.4,0.55,0.95
"186","RICKY ALVAREZ",25,5,9,2,0,2,6,0,4,0,2,2,0,27,0.36,0.333,0.84,1.173
"187","RICKY RODRIGUEZ",20,4,9,1,0,1,7,3,9,1,0,1,0,24,0.45,0.52,0.75,1.27
"188","ROBERTO LOPEZ",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"189","RODOLFO AMADOR",20,1,5,0,0,0,0,1,1,2,0,0,0,21,0.25,0.348,0.25,0.598
"190","ROGELIO DEL CAMPO",3,1,3,0,0,0,1,0,0,0,0,0,0,3,1,1,1,2
"191","ROGELIO NORIS",4,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0
"192","ROLANDO ACOSTA",23,5,8,1,0,1,3,3,3,1,0,0,0,26,0.348,0.444,0.609,1.053
"193","ROLANDO MARTINEZ",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"194","RONNIER MUSTELIER",24,2,7,0,0,0,2,2,0,0,0,0,0,26,0.292,0.346,0.292,0.638
"195","RUBEN RIVERA",6,1,2,0,0,0,0,0,1,0,0,0,0,6,0.333,0.333,0.333,0.666
"196","RUBEN SOSA",25,2,8,4,0,1,7,4,6,0,2,2,1,32,0.32,0.387,0.8,1.187
"197","RYLAN SANDOVAL",2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
"198","SAMAR LEYVA",26,3,6,1,0,0,1,2,6,1,0,0,0,28,0.231,0.31,0.308,0.618
"199","SAUL SOTO",18,5,5,3,0,0,1,4,1,0,0,0,0,22,0.278,0.409,0.611,1.02
"200","SEBASTIAN VALLE",15,1,2,0,0,1,3,3,9,0,0,0,0,18,0.133,0.278,0.4,0.678
"201","SERGIO BURRUEL",22,2,4,1,0,0,1,1,7,0,0,0,0,23,0.182,0.217,0.273,0.49
"202","SERGIO CONTRERAS",7,4,1,0,0,0,1,4,0,0,0,0,0,11,0.143,0.455,0.143,0.598
