"","TEAM","GP","W","L","PCT","WinRatio","RperG","RAperG","RunsRatio","PCTexp","Wexp","Lexp","Rdif"
"1","Sultanes de Monterrey",22,16,6,0.727272727272727,2.66666666666667,6,4.77272727272727,1.25714285714286,0.612464409996836,35,22,27
"2","Toros de Tijuana",22,13,9,0.590909090909091,1.44444444444444,6.77272727272727,4.68181818181818,1.44660194174757,0.676653459311186,39,18,46
"3","Rieleros de Aguascalientes",22,12,10,0.545454545454545,1.2,6.04545454545455,5.86363636363636,1.03100775193798,0.515263617826973,29,28,4
"4","Generales de Durango",22,10,12,0.454545454545455,0.833333333333333,6.68181818181818,8.36363636363636,0.798913043478261,0.389597043180384,22,35,-37
"5","Tecolotes de 2 Laredos",22,9,13,0.409090909090909,0.692307692307692,4.31818181818182,4.68181818181818,0.922330097087379,0.459661811143934,26,31,-8
"6","Saraperos de Saltillo",22,9,13,0.409090909090909,0.692307692307692,5.45454545454545,6.13636363636364,0.888888888888889,0.441379310344828,25,32,-15
"7","Acereros de Monclova",21,7,14,0.333333333333333,0.5,5.57142857142857,6.61904761904762,0.841726618705036,0.414692517418964,24,33,-22
"8","Algodoneros Union Laguna",22,6,16,0.272727272727273,0.375,4.13636363636364,5.54545454545455,0.745901639344262,0.357478955320527,20,37,-31
