"","Pitcher_Name","SO","BB","IP","ERA","WHIP","BB/9","K/9"
"29","ARTURO BARRADAS",3,2,3,3,1.67,6,9
"30","ARTURO FLORENTINO",3,2,4.2,5.79,1.71,3.86,5.79
"31","ATAHUALPA SEVERINO",2,3,2.2,3.38,1.5,10.12,6.75
"32","AXEL RIOS",7,2,5.1,1.69,1.5,3.38,11.81
"33","BARRY ENRIGHT",8,3,10,6.3,2,2.7,7.2
"34","BENNY SUAREZ",3,1,4,2.25,1.25,2.25,6.75
"35","BRANDON QUINTERO",0,1,0.1,27,6,27,0
"36","BRAULIO LARA",6,5,4.1,0,1.15,10.38,12.46
"37","BRAULIO TORRES-PEREZ",0,0,1,9,3,0,0
"38","BRYAN EVANS",5,1,5,1.8,1.4,1.8,9
"39","CARLOS CHAVEZ",2,3,1.1,27,4.5,20.25,13.5
"40","CARLOS DE LEON",1,1,2.2,0,1.88,3.38,3.38
"41","CARLOS FISHER",5,3,3.1,5.4,2.7,8.1,13.5
"42","CARLOS HERNANDEZ",3,0,5,0,0.4,0,5.4
"43","CARLOS MORALES",3,2,4.1,4.15,1.62,4.15,6.23
"44","CARLOS PECH",1,0,0.2,0,1.5,0,13.5
"45","CARLOS TELLER",0,2,1.2,5.4,2.4,10.8,0
"46","CESAR VALDEZ",3,2,5,7.2,2,3.6,5.4
"47","CHAD GAUDIN",2,0,3,0,0.67,0,6
"48","CHRIS ROCHA",4,0,4.2,0,1.07,0,7.71
"49","CONFESOR LARA",2,4,4,6.75,2.5,9,4.5
"50","DANIEL BRITO",0,1,1.1,13.5,3,6.75,0
"51","DANIEL FLORES",1,0,2,0,0.5,0,4.5
"52","DANIEL GUERRERO",5,3,4,4.5,1.5,6.75,11.25
"53","DAVID GUTIERREZ",3,2,5.1,0,0.94,3.38,5.06
"54","DAVID REYES",8,1,5.2,12.71,2.65,1.59,12.71
"55","DAVID RICHARDSON",5,1,3.2,0,0.55,2.45,12.27
"56","DEMETRIO GUTIERREZ",2,0,1,0,0,0,18
"57","DERRICK LOOP",3,4,3,0,2.33,12,9
"58","DUSTIN CRENSHAW",1,3,5,5.4,2,5.4,1.8
"59","EDER LLAMAS",5,2,5.2,4.76,1.24,3.18,7.94
"60","EDGAR GOMEZ",1,3,2.1,23.14,3.86,11.57,3.86
"61","EDGAR GONZALEZ",2,1,3.1,10.8,2.7,2.7,5.4
"62","EDGAR TORRES",0,0,1.1,13.5,1.5,0,0
"63","EDUARD SANTOS",3,1,1,18,3,9,27
"64","EDWIN QUIRARTE",1,0,1,0,0,0,9
"65","EDWIN SALAS",3,2,5,1.8,1,3.6,5.4
"66","EGER ACOSTA",2,1,2,4.5,1.5,4.5,9
"67","EL'HAJJ MUHAMMAD",1,0,3.1,0,0,0,2.7
"68","ESTEBAN HARO",0,0,2,9,1.5,0,0
"69","EUMIR SEPULVEDA",1,4,5,0,1.6,7.2,1.8
"70","FABIAN COTA",2,0,2.2,0,0.75,0,6.75
"71","FABIAN WILLIAMSON",0,3,0,Inf,Inf,Inf,NA
"72","FEDERICO CASTANEDA",1,2,1.1,6.75,3.75,13.5,6.75
"73","FELIPE ARREDONDO",1,0,2.1,7.71,1.71,0,3.86
"74","FELIPE GONZALEZ",4,3,3.1,2.7,1.8,8.1,10.8
"75","FERNANDO GALLEGOS",3,2,3.1,10.8,2.4,5.4,8.1
"76","FERNANDO VILLALOBOS",2,1,4,9,1.5,2.25,4.5
"77","FRANCISCO CAMPOS",0,1,1.1,47.25,5.25,6.75,0
"78","FRANCISCO DEL ROSARIO",5,2,4.2,1.93,0.86,3.86,9.64
"79","FRANCISCO GIL",1,1,2,0,1,4.5,4.5
"80","FRANCISCO HARO",2,1,2.2,6.75,2.62,3.38,6.75
"81","FRANCISCO MORENO",4,0,4,2.25,1,0,9
"82","FRANCISCO RODRIGUEZ",7,2,10,0.9,0.9,1.8,6.3
"83","FRANKIE DE LA CRUZ",10,3,11.2,4.63,1.29,2.31,7.71
"84","FREDDY GARCIA",8,0,5,3.6,1.4,0,14.4
