"","Pitcher_Name","OUT","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV"
"254","RUDDY ACOSTA",75,24,2,13,11,19,8,0,2,1,0,0
"255","RUDY GONZALEZ",12,7,1,3,3,5,1,0,0,1,0,0
"256","RYAN PEREZ",41,16,4,12,11,8,10,0,0,2,0,0
"257","SALVADOR VALDEZ",49,20,2,14,11,6,10,0,1,1,0,0
"258","SAMUEL ZAZUETA",16,5,0,6,6,5,7,2,0,1,0,1
"259","SANTIAGO GUTIERREZ",27,8,0,6,6,8,3,0,0,0,6,0
"260","SASAGI SANCHEZ",41,17,1,6,4,10,4,0,1,1,1,0
"261","SAUL CASTELLANOS",5,2,0,0,0,1,1,0,0,0,0,0
"262","SERGIO ALVARADO",31,6,2,2,2,10,5,0,0,0,0,0
"263","SERGIO MITRE",6,2,0,0,0,2,0,0,0,0,0,0
"264","SERGIO SIERRA",16,10,2,8,7,7,8,0,0,1,0,0
"265","SERGIO VALENZUELA",15,6,1,1,1,1,1,0,0,0,0,0
"266","TERANCE MARIN",62,23,3,12,10,11,2,0,1,1,0,0
"267","THOMAS MELGAREJO",19,9,1,4,4,7,2,0,0,0,1,0
"268","TIAGO DA SILVA",77,33,0,15,10,28,5,0,3,1,0,0
"269","TOMAS SOLIS",45,18,0,9,7,6,7,0,1,0,0,0
"270","TONY AMEZCUA",3,1,0,2,2,0,5,0,0,0,0,0
"271","TONY CORDOVA",5,8,1,2,2,2,1,0,0,1,0,0
"272","TONY GUERRA",27,4,0,0,0,5,5,0,0,0,2,0
"273","TYLER KANE",67,24,4,13,11,7,7,0,1,2,0,0
"274","ULISES JOAQUIN",32,22,3,17,17,6,5,0,0,3,2,0
"275","ULISES LOPEZ",12,3,1,5,5,3,4,0,0,1,0,0
"276","VICTOR ESPINOSA",45,12,3,10,8,12,12,1,0,3,0,0
"277","WES TORREZ",26,12,0,5,4,7,6,0,0,0,0,0
"278","WILMER RIOS",41,13,0,4,4,4,3,0,0,0,1,0
"279","WIRFIN OBISPO",36,15,1,5,5,19,3,0,1,1,0,3
"280","YOANNER NEGRIN",77,28,3,11,11,4,4,0,2,0,0,0
"281","YOHAN FLANDE",64,28,0,11,10,10,4,1,1,0,0,0
"282","YOSSHEL HURTADO",29,9,0,3,2,7,5,0,2,1,2,0
"283","ZACH PHILLIPS",20,12,0,10,6,6,3,0,0,2,2,0
