"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"188","FRANCISCO HERNANDEZ",12,3,3,1,0,1,2,0,4,0,1,0,1
"189","FRANCISCO LUGO",14,2,3,0,0,0,2,0,1,0,1,1,0
"190","FRANCISCO MORENO",0,0,0,0,0,0,0,0,0,0,0,0,0
"191","FRANCISCO RIVERA",35,2,8,1,1,1,7,2,4,1,0,0,0
"192","FRANCISCO RODRIGUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"193","FRANK DIAZ",65,6,21,3,0,3,13,8,6,1,0,1,0
"194","FRANKIE DE LA CRUZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"195","FREDDY GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"196","FREDY QUINTERO",0,0,0,0,0,0,0,0,0,0,0,0,0
"197","GABE AGUILAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"198","GABINO AVALOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"199","GABRIEL GUTIERREZ",27,4,4,0,0,0,1,3,2,0,0,0,0
"200","GENARO ANDRADE",14,0,4,0,0,0,1,1,3,0,0,0,0
"201","GERARDO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"202","GERARDO SANCHEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"203","GILBERTO GALAVIZ",50,6,11,5,0,0,5,2,1,1,1,0,0
"204","GONZALO OCHOA",0,0,0,0,0,0,0,0,0,0,0,0,0
"205","GONZALO SANUDO",0,0,0,0,0,0,0,0,0,0,0,0,0
"206","GUILLERMO TRUJILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"207","HANS WILSON",12,0,2,0,0,0,0,2,0,0,0,0,0
"208","HASSAN PENA",0,0,0,0,0,0,0,0,0,0,0,0,0
"209","HECTOR AMBRIZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"210","HECTOR GALVAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"211","HECTOR GOMEZ",91,20,31,10,0,3,15,4,22,0,2,0,0
"212","HECTOR HERNANDEZ",17,3,5,1,0,0,2,2,3,0,0,0,1
"213","HENDERSON ALVAREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"214","HENRY ALEJANDRO RODRIGUEZ",79,11,27,3,0,1,11,11,12,1,0,0,0
"215","HENRY OMANA",0,0,0,0,0,0,0,0,0,0,0,0,0
"216","HENRY URRUTIA",78,21,32,6,0,5,21,13,15,1,3,0,0
"217","HERIBERTO RUELAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"218","HUGO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"219","HUMBERTO CASTRO",47,7,13,0,0,0,6,8,6,3,2,1,1
"220","HUMBERTO MONTIEL",0,0,0,0,0,0,0,0,0,0,0,0,0
"221","HUMBERTO SOSA",42,8,14,2,0,1,7,5,7,0,0,0,0
"222","IRWIN DELGADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"223","ISAAC JIMENEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"224","ISAAC RODRIGUEZ SALAZAR",93,20,39,7,0,2,12,8,9,0,12,0,1
"225","ISIDRO PINA",57,7,24,1,0,0,12,6,3,1,0,1,2
"226","ISMAEL CASTILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"227","ISSMAEL SALAS",57,5,17,3,0,1,9,2,8,0,1,3,2
"228","IVAN ARAUJO",13,2,2,0,0,1,4,1,1,1,1,1,0
"229","IVAN BELLAZETIN",34,4,5,1,0,0,1,2,3,0,1,0,2
"230","IVAN JIMENEZ",49,5,11,2,0,0,3,4,20,1,2,0,3
"231","IVAN SALAS",0,0,0,0,0,0,0,0,0,0,0,0,0
"232","IVAN TERRAZAS",54,10,16,3,0,0,7,8,7,1,2,1,1
"233","IVAN ZAVALA",0,0,0,0,0,0,0,0,0,0,0,0,0
"234","J.P. RAMIREZ",37,2,6,0,0,1,3,1,9,0,0,0,0
"235","JAIME BRENA",5,3,2,0,0,0,1,2,0,0,1,0,0
"236","JAIME LUGO",0,0,0,0,0,0,0,0,0,0,0,0,0
"237","JAIME SANTOS",14,4,2,0,0,0,1,2,3,0,0,0,0
"238","JAIRO PEREZ",8,4,7,5,0,0,0,0,0,1,1,0,0
"239","JAMAR WALTON",80,12,20,6,2,1,9,5,12,1,1,0,0
"240","JASON BOURGEOIS",63,6,19,3,0,1,12,7,6,0,3,0,0
"241","JASON URQUIDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"242","JAVIER MIRELES",55,11,19,3,0,2,9,2,8,0,2,2,1
"243","JAVIER REYNOSO",0,0,0,0,0,0,0,0,0,0,0,0,0
"244","JAVIER SALAZAR",83,17,19,3,3,0,9,6,10,2,1,1,0
"245","JAVIER SOLANO",0,0,0,0,0,0,0,0,0,0,0,0,0
"246","JEAN MACHI",0,0,0,0,0,0,0,0,0,0,0,0,0
"247","JEFF IBARRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"248","JEMILE WEEKS",62,17,15,7,0,0,6,17,9,2,0,2,0
"249","JEREMIAS PINEDA",49,14,16,4,0,1,8,12,11,2,10,0,0
"250","JESSE ESTRADA",0,0,0,0,0,0,0,0,0,0,0,0,0
"251","JESUS ADRIAN CASTILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"252","JESUS ALBERTO VEGA",23,2,5,2,0,0,1,1,4,1,0,0,0
"253","JESUS ALCANTAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"254","JESUS ANGUAMEA",0,0,0,0,0,0,0,0,0,0,0,0,0
"255","JESUS ARREDONDO",74,10,21,3,1,3,17,9,23,1,0,2,0
"256","JESUS BARRAZA",0,0,0,0,0,0,0,0,0,0,0,0,0
"257","JESUS CAPORAL",5,1,1,0,1,0,1,0,1,0,0,0,0
"258","JESUS CASTILLO",74,15,26,4,0,6,19,18,13,1,1,1,0
"259","JESUS FABELA",62,11,19,3,1,1,13,11,13,3,3,1,1
"260","JESUS GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"261","JESUS HUERTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"262","JESUS LOYA",53,13,15,3,0,0,8,6,10,0,2,1,1
"263","JESUS MONTERO",87,12,24,3,1,2,11,9,24,0,0,1,0
"264","JESUS PIRELA",0,0,0,0,0,0,0,0,0,0,0,0,0
"265","JESUS RIVERA",46,4,12,4,0,0,9,4,2,2,0,1,2
"266","JESUS VALDEZ",73,12,21,3,0,3,11,7,8,0,1,0,0
"267","JIBRAN CASTRO",20,3,5,1,0,0,3,0,4,0,0,0,1
"268","JIO MIER",5,0,2,1,0,0,1,1,1,0,0,0,0
"269","JOAQUIN LARA",0,0,0,0,0,0,0,0,0,0,0,0,0
"270","JOE MUNOZ",2,0,0,0,0,0,0,0,1,0,0,0,0
"271","JOHN MILLAN",0,0,0,0,0,0,0,0,0,0,0,0,0
"272","JON DEL CAMPO",62,12,22,5,1,1,10,4,12,0,2,0,2
"273","JONATHAN ACEVES",62,11,19,6,0,2,7,7,15,1,0,0,0
"274","JONATHAN ARMENTA",19,1,4,1,0,0,4,0,9,0,0,1,0
"275","JONATHAN CASTELLANOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"276","JONATHAN FRUTOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"277","JONATHAN JONES",80,16,27,6,2,3,10,10,20,0,7,1,1
"278","JONATHAN PARTIDA",0,0,0,0,0,0,0,0,0,0,0,0,0
"279","JORDAN ABOITES",0,0,0,0,0,0,0,0,0,0,0,0,0
"280","JORGE CANTU",71,11,18,5,0,2,17,7,14,0,0,3,0
"281","JORGE FLORES",77,19,26,2,1,1,7,6,9,1,5,1,0
"282","JORGE GONZALEZ",5,0,0,0,0,0,0,0,3,0,0,0,0
"283","JORGE IBARRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"284","JORGE QUINONES",0,0,0,0,0,0,0,0,0,0,0,0,0
