"","Batter_Name","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH"
"442","RAMIRO PENA",56,10,17,3,0,1,7,2,5,1,1,0,0
"443","RAMON OSUNA",32,9,15,2,0,4,8,6,11,2,0,1,0
"444","RAMON R RAMIREZ",24,3,3,0,0,0,0,4,6,0,0,0,1
"445","RAMON RIOS",74,10,25,3,1,1,9,5,4,2,0,1,0
"446","RAUL BARRON",0,0,0,0,0,0,0,0,0,0,0,0,0
"447","RAUL CARRILLO",0,0,0,0,0,0,0,0,0,0,0,0,0
"448","RAUL VALDES",0,0,0,0,0,0,0,0,0,0,0,0,0
"449","RAYMUNDO TORRES",27,8,15,3,1,2,11,4,4,0,1,0,0
"450","REFUGIO CERVANTES",10,0,1,0,0,0,2,0,2,0,0,0,0
"451","REFUGIO MARIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"452","REINIER ROIBAL",0,0,0,0,0,0,0,0,0,0,0,0,0
"453","RENE COSS",0,0,0,0,0,0,0,0,0,0,0,0,0
"454","RICARDO JACQUEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"455","RICARDO NANITA",13,2,2,0,0,0,0,2,2,0,0,0,0
"456","RICARDO RIVERO",0,0,0,0,0,0,0,0,0,0,0,0,0
"457","RICARDO SERRANO",82,6,22,3,0,0,14,4,15,0,0,1,2
"458","RICARDO VALENZUELA",28,1,8,1,0,1,6,1,3,0,0,0,1
"459","RICHY PEDROZA",53,9,14,1,0,1,7,8,11,1,3,3,2
"460","RICKY ALVAREZ",89,19,33,10,0,9,23,1,17,1,2,3,0
"461","RICKY RODRIGUEZ",75,12,20,4,1,2,19,6,33,4,0,4,0
"462","ROBERT GARCIA",0,0,0,0,0,0,0,0,0,0,0,0,0
"463","ROBERTO ESPINOSA",0,0,0,0,0,0,0,0,0,0,0,0,0
"464","ROBERTO LOPEZ",30,7,10,2,0,1,5,3,7,2,0,0,2
"465","ROBERTO VALENZUELA",18,3,4,0,0,0,0,0,0,0,0,0,0
"466","ROBINSON LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"467","RODOLFO AGUILAR",0,0,0,0,0,0,0,0,0,0,0,0,0
"468","RODOLFO AGUIRRE",0,0,0,0,0,0,0,0,0,0,0,0,0
"469","RODOLFO AMADOR",57,10,17,2,0,2,5,6,3,2,0,0,1
"470","RODRIGO VALENZUELA",0,0,0,0,0,0,0,0,0,0,0,0,0
"471","ROGELIO BERNAL",0,0,0,0,0,0,0,0,0,0,0,0,0
"472","ROGELIO DEL CAMPO",39,6,9,0,0,2,7,4,7,1,0,1,0
"473","ROGELIO MARTINEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"474","ROGELIO NORIS",30,2,6,2,0,1,6,1,11,1,0,0,0
"475","ROLANDO ACOSTA",69,12,22,2,0,3,10,7,15,3,0,0,0
"476","ROLANDO MARTINEZ",3,0,1,1,0,0,2,0,0,2,0,0,0
"477","ROLANDO VALDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"478","ROMAN PENA",0,0,0,0,0,0,0,0,0,0,0,0,0
"479","ROMARIO GIL",0,0,0,0,0,0,0,0,0,0,0,0,0
"480","RONALD BELISARIO",0,0,0,0,0,0,0,0,0,0,0,0,0
"481","RONNIER MUSTELIER",84,9,27,5,1,2,8,8,15,0,0,0,0
"482","ROY MERRITT",0,0,0,0,0,0,0,0,0,0,0,0,0
"483","RUBEN RIVERA",31,6,8,2,1,1,5,2,4,1,0,0,0
"484","RUBEN SOSA",72,15,24,6,1,1,9,15,17,2,6,2,1
"485","RUBEN VICENTE",0,0,0,0,0,0,0,0,0,0,0,0,0
"486","RUDDY ACOSTA",0,0,0,0,0,0,0,0,0,0,0,0,0
"487","RUDY GONZALEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"488","RYAN PEREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"489","RYLAN SANDOVAL",5,2,2,0,0,0,2,5,3,0,0,0,0
"490","SALVADOR VALDEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"491","SAMAR LEYVA",70,11,16,1,0,0,5,2,12,3,2,0,2
"492","SAMMY AYALA",6,1,2,0,0,1,2,0,4,0,0,0,0
"493","SAMUEL ZAZUETA",0,0,0,0,0,0,0,0,0,0,0,0,0
"494","SANTIAGO GUTIERREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"495","SASAGI SANCHEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"496","SAUL CASTELLANOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"497","SAUL SOTO",65,11,22,5,0,3,12,11,7,0,0,1,0
"498","SEBASTIAN VALLE",15,1,2,0,0,1,3,3,9,0,0,0,0
"499","SERGIO ALVARADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"500","SERGIO BURRUEL",65,10,19,2,0,1,16,7,17,0,1,2,1
"501","SERGIO CONTRERAS",10,4,1,0,0,0,1,8,0,0,0,0,0
"502","SERGIO GARCIA",60,3,17,4,0,1,6,0,12,0,0,0,1
"503","SERGIO MITRE",0,0,0,0,0,0,0,0,0,0,0,0,0
"504","SERGIO PEREZ",50,9,20,5,1,0,11,3,5,0,1,0,0
"505","SERGIO SIERRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"506","SERGIO VALENZUELA",0,0,0,0,0,0,0,0,0,0,0,0,0
"507","STEVE CARRILLO",41,6,9,1,0,1,5,2,10,1,0,0,0
"508","STEVEN PALLARES",11,1,1,1,0,0,0,2,0,0,0,0,0
"509","TERANCE MARIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"510","THOMAS MELGAREJO",0,0,0,0,0,0,0,0,0,0,0,0,0
"511","TIAGO DA SILVA",0,0,0,0,0,0,0,0,0,0,0,0,0
"512","TIM TORRES",1,1,1,1,0,0,0,0,0,0,0,0,0
"513","TOMAS SOLIS",0,0,0,0,0,0,0,0,0,0,0,0,0
"514","TONY AMEZCUA",0,0,0,0,0,0,0,0,0,0,0,0,0
"515","TONY CAMPANA",88,15,27,4,0,0,3,4,10,1,8,0,5
"516","TONY CORDOVA",0,0,0,0,0,0,0,0,0,0,0,0,0
"517","TONY GUERRA",0,0,0,0,0,0,0,0,0,0,0,0,0
"518","TYLER KANE",0,0,0,0,0,0,0,0,0,0,0,0,0
"519","ULISES JOAQUIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"520","ULISES LOPEZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"521","URIAK MARQUEZ",73,13,22,2,1,2,13,6,15,1,6,2,3
"522","VICTOR ESPINOSA",0,0,0,0,0,0,0,0,0,0,0,0,0
"523","VICTOR MENDOZA",27,2,9,2,0,1,4,3,3,0,0,0,0
"524","WALTER HIGUERA",1,2,1,0,0,0,2,0,0,0,1,0,0
"525","WALTER IBARRA",63,10,19,4,2,0,4,2,12,1,2,1,3
"526","WES TORREZ",0,0,0,0,0,0,0,0,0,0,0,0,0
"527","WILFREDO RODRIGUEZ",64,8,16,2,1,1,6,4,8,2,1,0,0
"528","WILMER RIOS",0,0,0,0,0,0,0,0,0,0,0,0,0
"529","WIRFIN OBISPO",0,0,0,0,0,0,0,0,0,0,0,0,0
"530","YADIR DRAKE",80,14,32,8,0,4,21,10,7,2,1,1,0
"531","YANCARLO ANGULO",28,3,6,1,0,0,0,0,8,0,1,0,1
"532","YOANNER NEGRIN",0,0,0,0,0,0,0,0,0,0,0,0,0
"533","YOHAN FLANDE",0,0,0,0,0,0,0,0,0,0,0,0,0
"534","YORDANYS LINARES",86,15,24,6,0,0,5,8,15,0,4,0,1
"535","YOSMANY GUERRA",81,10,18,2,2,0,5,11,13,1,0,0,0
"536","YOSSHEL HURTADO",0,0,0,0,0,0,0,0,0,0,0,0,0
"537","YUNIESKY BETANCOURT",88,17,34,4,0,5,14,6,6,0,1,1,0
"538","ZACH PHILLIPS",0,0,0,0,0,0,0,0,0,0,0,0,0
